gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
AC145207.1,1.12,0.33,0.00,0.00,4.33,0.00,0.00,1.43,0.12,0.06,0.00,0.45,0.04,0.00,0.00
NOTUM,0.74,0.16,5.63,4.55,2.16,0.35,0.36,0.69,0.12,0.60,0.00,2.23,0.08,0.85,9.80
ASPSCR1,16.36,9.86,20.69,22.73,26.46,15.59,36.86,18.21,13.20,41.94,25.81,13.39,9.25,29.59,35.29
CENPX,2.60,6.52,11.84,9.09,5.32,14.42,33.68,2.49,7.77,33.09,29.03,2.46,8.12,20.84,23.53
LRRC45,1.12,2.20,3.79,2.27,3.49,4.34,11.21,1.75,3.34,7.59,6.45,0.89,2.22,7.21,5.88
RAC3,1.86,3.91,16.32,4.55,4.33,7.85,32.76,2.17,1.77,26.88,14.52,1.34,1.09,18.48,7.84
DCXR,3.35,11.41,26.44,15.91,6.49,19.11,39.52,4.71,11.69,50.00,41.94,2.46,11.47,30.39,33.33
DCXR-DT,0.00,0.29,0.69,0.00,0.17,0.47,0.44,0.05,0.31,1.14,1.61,0.00,0.08,0.47,0.00
RFNG,6.69,10.43,29.08,2.27,10.48,11.14,50.58,7.73,7.85,64.64,33.87,4.46,7.12,43.05,39.22
GPS1,4.83,8.35,20.80,6.82,10.32,10.90,32.64,5.24,8.43,44.50,35.48,4.69,7.71,28.35,39.22
DUS1L,9.67,14.83,15.86,18.18,15.64,19.81,39.56,11.12,17.92,51.02,35.48,6.70,14.91,32.16,23.53
FASN,4.46,6.80,17.13,20.45,17.47,11.02,50.18,10.59,4.12,59.02,25.81,6.25,4.65,39.69,21.57
CCDC57,39.03,25.25,9.77,6.82,40.93,25.44,13.56,32.24,23.10,14.16,17.74,32.37,22.70,12.58,13.73
AC132872.2,0.00,0.29,0.34,2.27,0.33,0.23,0.24,0.11,0.12,0.30,0.00,0.22,0.21,0.30,0.00
SLC16A3,13.01,16.46,26.55,11.36,27.29,20.98,69.58,19.16,17.82,78.43,33.87,16.74,14.95,56.63,29.41
CSNK1D,35.32,26.35,26.67,20.45,39.93,31.18,25.96,35.89,29.83,37.87,40.32,35.49,28.56,27.78,45.10
AC132872.3,1.12,0.20,0.23,0.00,1.33,0.23,0.04,0.64,0.19,0.36,1.61,0.89,0.17,0.32,3.92
LINC01970,1.49,0.77,0.34,0.00,0.33,1.41,0.12,1.85,1.14,0.12,1.61,0.89,1.05,0.10,1.96
AC132872.1,2.60,3.01,9.43,13.64,4.33,2.23,4.97,3.44,3.03,4.96,9.68,2.23,2.68,5.07,5.88
CD7,2.97,18.78,0.80,0.00,3.66,25.91,1.15,1.64,10.48,1.67,0.00,2.90,30.36,0.99,1.96
SECTM1,0.74,3.50,0.46,0.00,0.50,1.99,0.00,1.22,7.22,0.12,3.23,0.45,2.18,0.15,0.00
AC132938.1,0.00,0.12,0.11,2.27,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.13,0.02,0.00
OGFOD3,6.32,7.86,14.25,11.36,10.98,10.08,23.38,6.56,9.59,29.99,20.97,5.13,6.66,18.10,41.18
AC132938.2,0.37,0.24,0.00,0.00,0.00,0.35,0.24,0.05,0.22,0.12,1.61,0.00,0.13,0.37,1.96
HEXD,7.43,15.72,8.16,9.09,11.31,16.06,10.30,11.22,17.02,11.65,12.90,9.15,14.95,9.75,17.65
HEXD-IT1,1.86,1.38,0.92,0.00,1.66,1.29,1.31,2.12,1.31,1.19,4.84,0.89,1.01,1.27,3.92
CYBC1,11.15,14.22,15.17,9.09,15.14,18.29,22.39,12.02,22.57,29.03,17.74,6.03,15.58,20.77,25.49
AC132938.6,0.74,0.33,0.80,0.00,0.50,0.70,1.11,0.32,0.24,2.09,6.45,0.00,0.13,1.22,1.96
AC132938.3,0.37,0.20,0.23,4.55,0.83,0.23,0.24,0.95,0.73,0.48,3.23,0.22,0.21,0.37,0.00
NARF,20.07,20.04,15.40,11.36,30.95,28.37,24.85,24.14,23.17,31.30,35.48,22.99,16.71,20.52,19.61
NARF-IT1,0.37,0.08,0.11,0.00,0.83,0.23,0.24,1.01,0.15,0.18,0.00,0.22,0.04,0.25,0.00
FOXK2,42.38,30.26,12.18,18.18,63.56,38.57,25.61,47.86,37.97,37.51,27.42,35.94,29.27,22.81,35.29
AC124283.1,1.86,3.54,0.92,4.55,1.66,4.10,1.47,1.54,3.41,2.21,11.29,0.89,3.39,1.17,11.76
WDR45B,25.65,23.79,18.28,22.73,30.78,27.43,34.55,27.69,25.93,41.22,53.23,18.08,19.35,26.98,29.41
RAB40B,8.18,6.92,13.91,11.36,10.65,9.03,14.99,8.63,7.53,19.77,11.29,6.25,4.31,13.01,15.69
AC024361.2,0.00,0.04,0.23,0.00,0.67,0.12,0.04,0.00,0.15,0.12,1.61,0.00,0.04,0.10,0.00
FN3KRP,8.18,7.17,5.98,9.09,8.99,12.66,11.73,6.35,10.27,8.96,14.52,6.25,8.29,7.44,3.92
FN3K,1.86,2.24,1.38,2.27,2.50,3.05,1.63,3.34,4.16,2.21,9.68,3.57,1.76,1.62,5.88
TBCD,38.66,24.48,14.71,6.82,51.58,36.23,27.04,38.01,28.60,24.49,32.26,34.82,23.79,17.04,21.57
ZNF750,0.37,0.49,0.00,0.00,1.00,0.94,0.00,0.48,0.36,0.00,1.61,0.45,0.42,0.00,0.00
AC087222.1,0.37,0.20,0.34,0.00,0.67,0.35,0.40,0.53,0.12,0.06,3.23,0.22,0.34,0.12,0.00
B3GNTL1,8.92,6.40,2.53,4.55,17.30,12.08,7.08,11.33,8.09,9.56,6.45,8.26,7.16,5.57,1.96
METRNL,13.01,13.12,26.32,25.00,14.48,16.30,22.35,15.78,11.60,32.26,33.87,17.19,12.10,23.13,43.14
AC130371.2,0.00,0.45,2.30,0.00,0.00,0.59,0.87,0.05,0.19,1.97,0.00,0.45,0.34,1.82,3.92
AC144831.1,2.23,1.63,2.99,0.00,1.83,1.52,2.62,3.12,2.18,3.94,1.61,2.46,1.34,2.59,17.65
AC139099.2,2.60,1.67,0.34,2.27,4.16,3.75,0.24,3.34,2.52,0.96,3.23,2.90,0.34,0.30,3.92
AP005530.1,0.00,0.04,0.00,0.00,0.17,0.82,0.04,0.21,0.48,0.12,6.45,0.00,0.04,0.00,0.00
USP14,30.48,23.10,25.86,20.45,45.09,35.76,47.95,32.87,27.26,60.27,50.00,31.25,21.73,37.95,39.22
THOC1,27.88,25.46,13.79,27.27,42.60,30.01,20.64,32.03,24.09,19.47,40.32,26.12,21.40,16.84,37.25
AP000845.1,0.37,0.04,0.11,0.00,1.83,0.12,0.28,0.48,0.24,0.48,3.23,0.67,0.13,0.37,0.00
AP000915.1,0.00,0.49,0.34,0.00,0.33,0.47,0.20,0.21,0.10,0.00,1.61,0.45,0.80,0.17,0.00
COLEC12,53.16,30.84,70.46,59.09,50.92,26.85,59.24,34.62,14.04,38.11,41.94,42.41,21.90,44.94,64.71
AP000915.2,2.23,1.55,5.40,0.00,3.66,1.76,2.90,2.06,0.63,1.49,1.61,4.24,1.05,2.36,7.84
CLUL1,0.00,0.45,2.18,4.55,0.67,0.23,1.19,0.26,0.22,1.61,1.61,0.22,0.08,1.04,0.00
TYMSOS,3.35,1.79,0.92,0.00,6.82,2.70,4.25,3.23,1.19,0.96,3.23,3.35,0.92,1.32,0.00
TYMS,1.86,2.69,4.25,0.00,11.81,10.43,28.15,1.75,1.99,7.29,1.61,1.34,1.76,7.06,0.00
ENOSF1,51.30,34.18,40.23,25.00,67.39,41.74,42.62,51.24,25.69,41.94,43.55,42.41,28.06,35.24,39.22
AP001178.2,0.00,0.20,0.00,0.00,0.33,0.23,0.04,0.16,0.22,0.00,1.61,0.00,0.17,0.00,0.00
YES1,38.29,27.05,14.60,13.64,51.08,33.06,29.34,35.31,22.03,36.56,41.94,35.27,32.50,21.41,47.06
AP001020.3,0.37,0.37,0.23,0.00,0.50,0.59,0.12,0.11,0.31,0.06,1.61,0.22,0.54,0.12,1.96
AP001020.1,0.00,0.00,0.11,0.00,0.17,0.23,0.04,0.00,0.05,0.00,3.23,0.22,0.08,0.02,0.00
AP001020.2,2.23,0.94,0.92,0.00,3.33,1.88,1.75,2.22,0.56,1.85,4.84,2.23,0.75,1.39,7.84
AP000894.4,0.37,0.12,0.11,2.27,0.17,0.70,0.44,0.21,0.05,0.54,0.00,0.00,0.50,0.42,0.00
AP000829.1,0.74,1.14,0.00,0.00,1.66,1.76,0.00,2.38,1.57,0.06,0.00,1.12,0.92,0.02,0.00
LINC00470,1.49,1.06,0.11,0.00,0.33,0.59,0.28,0.58,1.48,0.72,0.00,0.67,0.84,0.25,0.00
AP005230.1,0.00,0.61,0.00,0.00,1.16,1.06,0.00,0.79,1.11,0.00,0.00,1.12,1.01,0.00,0.00
METTL4,7.43,9.61,4.37,6.82,12.81,14.19,10.22,9.58,12.20,9.14,24.19,8.04,11.73,6.91,11.76
NDC80,1.86,3.50,0.92,2.27,9.15,9.26,10.93,2.01,2.40,2.63,6.45,1.79,3.60,2.44,1.96
SMCHD1,66.17,72.95,35.29,38.64,80.87,84.53,51.01,74.91,85.08,51.55,64.52,71.43,81.16,38.52,50.98
AP001011.1,8.18,32.18,0.11,0.00,15.81,47.13,0.12,10.27,41.40,0.00,0.00,7.59,44.60,0.10,0.00
EMILIN2,8.92,7.01,5.06,4.55,6.49,9.73,11.57,16.46,15.86,14.04,9.68,7.81,5.90,8.60,11.76
LPIN2,52.04,43.54,36.21,27.27,68.55,53.58,46.72,47.43,31.31,49.70,37.10,36.16,42.71,34.82,39.22
AP000919.4,1.49,0.73,0.23,0.00,0.83,0.47,0.48,2.28,1.31,0.78,3.23,2.46,0.25,0.42,0.00
AP000919.2,0.74,4.60,0.00,0.00,3.49,7.74,0.36,3.81,4.67,0.12,0.00,1.56,5.07,0.10,1.96
AP000919.3,0.74,3.26,0.00,0.00,1.16,4.45,0.08,1.43,2.25,0.24,1.61,1.56,3.18,0.05,0.00
MYOM1,21.56,12.18,4.25,4.55,22.30,8.09,2.31,17.47,10.10,2.45,11.29,7.59,3.94,2.54,0.00
AP005329.2,0.37,2.44,0.00,0.00,0.83,1.88,0.00,0.85,2.06,0.00,0.00,0.45,1.30,0.02,0.00
AP005329.3,1.12,0.73,0.80,0.00,1.16,0.82,0.91,1.11,1.09,1.31,4.84,0.00,0.80,1.04,0.00
MYL12A,11.15,51.69,31.61,38.64,17.30,62.37,51.09,13.61,48.89,61.35,75.81,12.28,62.65,42.20,74.51
AP005329.1,0.37,0.86,0.23,2.27,0.83,0.82,0.12,0.69,0.31,0.42,1.61,1.12,0.88,0.35,1.96
MYL12B,21.19,44.32,46.90,36.36,37.44,61.55,84.17,25.67,42.47,91.28,80.65,22.10,53.48,68.29,76.47
AP001025.1,1.49,0.86,1.03,2.27,3.83,1.29,0.20,1.38,0.44,0.00,0.00,0.89,0.71,0.20,0.00
TGIF1,17.10,11.57,36.78,20.45,19.97,14.42,24.97,15.51,9.08,28.02,30.65,11.38,10.97,22.26,15.69
GAPLINC,2.60,0.61,0.80,0.00,2.00,0.59,0.16,1.32,0.31,0.18,0.00,2.23,0.63,0.12,0.00
DLGAP1,5.58,4.89,2.07,4.55,7.49,7.85,2.58,5.08,5.40,1.85,0.00,4.69,5.99,1.42,0.00
DLGAP1-AS1,3.35,4.32,7.01,13.64,6.82,7.15,3.50,5.82,4.43,4.24,11.29,5.80,6.83,3.85,7.84
DLGAP1-AS2,5.20,1.75,3.10,0.00,4.33,2.34,1.15,4.98,2.03,1.14,6.45,3.57,2.14,1.59,3.92
LINC00526,0.37,1.06,0.69,6.82,0.33,1.52,2.03,0.58,0.75,2.33,8.06,0.89,0.80,1.54,5.88
LINC00667,15.99,13.03,24.02,15.91,25.29,17.82,37.06,14.08,12.06,42.71,51.61,9.82,10.85,29.54,35.29
ZBTB14,4.09,5.42,5.29,11.36,4.83,6.10,7.48,2.17,5.04,7.41,11.29,2.46,5.70,5.25,11.76
AP005671.1,1.86,0.77,0.00,0.00,1.16,0.59,0.04,1.32,0.94,0.06,0.00,0.22,0.08,0.02,0.00
EPB41L3,17.10,16.42,9.77,6.82,23.13,15.01,14.51,22.45,19.73,18.52,11.29,9.82,4.19,11.94,19.61
TMEM200C,0.00,0.04,0.23,2.27,0.17,0.12,0.56,0.48,0.02,0.60,0.00,0.45,0.25,0.99,3.92
AP001021.3,2.23,5.66,0.00,0.00,0.67,5.86,0.00,1.06,6.13,0.00,0.00,1.56,5.28,0.00,0.00
L3MBTL4,21.93,28.96,1.72,2.27,23.79,22.63,2.54,30.81,33.87,2.21,9.68,38.17,26.30,2.06,17.65
LINC01387,3.72,2.08,0.11,0.00,5.66,3.63,0.00,1.32,0.12,0.00,0.00,1.34,0.21,0.00,0.00
AP005205.2,0.00,0.16,1.26,0.00,0.17,0.35,1.03,0.00,0.05,0.60,0.00,0.00,0.00,0.87,1.96
ARHGAP28,21.56,13.08,3.22,4.55,13.64,5.86,2.03,10.43,6.37,1.31,16.13,11.16,3.06,1.91,27.45
AP005210.2,0.37,0.24,0.00,0.00,0.00,0.12,0.00,0.00,0.05,0.00,1.61,0.22,0.00,0.02,3.92
LINC00668,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,1.96
LAMA1,2.23,0.41,0.11,0.00,1.33,0.12,0.08,0.69,0.34,0.00,0.00,0.67,0.21,0.02,0.00
PTPRM,82.16,59.06,16.44,22.73,74.54,42.67,14.35,63.37,35.62,18.40,45.16,60.04,37.77,15.77,50.98
AP000897.2,0.37,1.06,0.00,0.00,0.00,0.82,0.04,0.53,0.44,0.00,0.00,0.00,0.46,0.00,0.00
AP000897.1,1.12,0.45,1.72,0.00,1.33,0.35,0.80,1.43,0.24,0.96,9.68,0.45,0.13,0.82,3.92
AP005900.1,0.00,0.12,0.11,0.00,0.00,0.12,0.00,0.16,0.10,0.06,0.00,0.22,0.08,0.00,1.96
AC006566.2,0.00,0.08,0.46,0.00,0.00,0.23,0.60,0.37,0.05,1.67,4.84,0.67,0.13,1.67,1.96
AC006566.1,1.12,0.24,0.23,4.55,0.17,0.12,0.40,0.79,0.19,0.54,6.45,0.45,0.17,0.42,0.00
AP001094.2,2.60,0.77,0.92,4.55,2.50,0.12,0.91,1.16,0.44,1.19,4.84,1.56,0.46,0.92,0.00
AP001094.1,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.04,0.02,1.96
RAB12,27.51,25.66,7.24,18.18,31.95,19.46,9.34,25.15,25.71,10.93,33.87,22.10,18.34,7.56,19.61
GACAT2,0.37,0.12,0.00,0.00,0.83,0.12,0.00,0.64,0.65,0.24,1.61,0.22,0.21,0.02,0.00
MTCL1,11.52,3.99,3.79,2.27,32.61,8.56,11.89,17.79,4.14,17.14,11.29,13.39,2.05,10.57,15.69
NDUFV2,22.68,30.88,31.72,20.45,31.61,41.50,59.09,23.13,36.46,72.22,58.06,17.63,31.24,46.63,31.37
AP005899.1,1.49,3.14,0.34,0.00,2.16,3.28,0.20,1.80,3.68,0.48,4.84,0.45,3.48,0.17,0.00
NDUFV2-AS1,5.58,10.67,1.61,0.00,12.15,13.83,3.02,9.21,10.75,4.18,3.23,6.25,12.81,2.16,3.92
ANKRD12,80.30,82.36,50.80,61.36,85.52,89.68,66.12,85.39,88.60,68.04,75.81,72.99,82.58,54.09,70.59
AP001033.2,1.86,1.34,0.92,0.00,2.16,1.88,1.83,2.44,1.82,2.51,3.23,0.89,0.88,1.32,3.92
AP001033.1,1.12,1.10,0.69,0.00,2.66,1.29,0.36,1.11,1.21,0.36,3.23,1.12,0.67,0.32,1.96
TWSG1,30.86,22.40,29.08,18.18,46.92,26.03,55.15,33.56,18.31,66.55,50.00,24.33,13.40,47.25,47.06
AP001033.3,1.12,0.45,1.03,0.00,0.67,0.59,1.67,1.06,0.77,3.58,0.00,0.22,0.29,1.54,1.96
RALBP1,21.19,20.69,30.46,18.18,30.78,30.60,55.23,23.77,21.43,69.41,61.29,15.85,22.45,43.87,54.90
AP005432.1,1.12,0.57,0.23,2.27,1.50,0.59,0.64,0.53,0.41,1.61,8.06,0.45,0.59,1.42,1.96
PPP4R1,27.14,17.92,13.79,6.82,41.10,20.98,23.66,30.39,17.02,28.43,32.26,21.88,14.32,19.10,29.41
PPP4R1-AS1,0.00,0.33,0.23,0.00,1.16,0.12,0.12,0.48,0.15,0.00,0.00,0.00,0.29,0.00,0.00
RAB31,62.08,42.20,14.37,27.27,35.77,20.75,13.84,47.96,37.68,21.15,27.42,39.51,17.84,13.90,41.18
AC006238.1,0.00,0.04,0.23,0.00,0.33,0.59,0.28,0.05,0.07,0.12,0.00,0.00,0.08,0.37,1.96
VAPA,49.07,42.48,56.78,43.18,64.23,50.06,76.10,48.44,42.35,87.69,75.81,43.30,38.78,66.80,60.78
APCDD1,5.20,3.01,2.18,6.82,1.16,1.29,0.36,4.50,2.86,0.72,9.68,8.26,5.19,1.47,49.02
NAPG,19.33,14.95,16.55,9.09,29.78,18.76,30.70,24.51,18.01,47.73,41.94,18.30,13.90,27.83,35.29
AP001099.1,1.12,0.45,0.00,0.00,0.00,0.70,0.04,0.79,1.28,0.06,0.00,0.22,0.50,0.02,0.00
PIEZO2,15.61,6.44,12.07,11.36,15.14,6.57,1.19,11.75,10.27,1.19,17.74,5.36,1.34,1.22,1.96
GNAL,24.91,15.15,26.32,31.82,28.95,18.87,8.35,16.41,7.97,11.05,22.58,11.61,7.45,9.48,3.92
AP001120.5,1.12,1.18,0.11,0.00,0.83,2.81,0.04,0.26,0.24,0.12,0.00,0.00,0.46,0.05,0.00
CHMP1B,12.27,20.37,26.90,25.00,18.14,26.14,32.41,16.25,22.69,36.74,50.00,13.17,23.07,27.98,31.37
MPPE1,8.92,15.11,6.44,4.55,14.14,16.06,13.80,10.80,18.09,19.12,25.81,6.92,14.45,12.29,19.61
AP001269.2,0.37,0.00,0.11,0.00,0.17,0.00,0.08,0.05,0.05,0.18,3.23,0.22,0.04,0.10,0.00
IMPA2,7.81,6.40,12.76,6.82,12.31,9.38,13.28,6.67,6.15,23.24,14.52,3.12,3.43,16.14,7.84
CIDEA,0.00,0.57,2.53,4.55,0.83,0.47,2.50,1.11,0.10,11.29,12.90,0.22,0.00,8.38,1.96
TUBB6,28.62,9.49,8.97,11.36,45.26,14.89,29.07,29.80,12.91,26.22,37.10,22.10,6.78,18.01,15.69
AFG3L2,24.91,16.78,24.71,13.64,40.27,24.50,41.07,28.32,17.41,44.32,41.94,22.54,13.11,30.99,35.29
PRELID3A,5.20,2.65,1.38,0.00,7.15,2.81,4.85,7.20,2.08,6.87,3.23,4.69,2.05,4.10,7.84
AP001029.2,0.74,1.18,0.46,0.00,1.50,1.06,0.95,0.85,1.02,2.03,1.61,1.12,0.96,1.09,3.92
SPIRE1,44.98,24.56,9.54,4.55,55.07,20.28,21.55,43.25,17.65,24.01,22.58,35.94,12.65,16.07,27.45
PSMG2,16.36,17.92,16.78,13.64,22.46,23.33,31.29,15.09,17.70,38.29,48.39,11.83,17.63,24.02,35.29
CEP76,9.29,4.97,1.72,2.27,13.48,7.50,4.85,8.36,5.33,4.84,8.06,9.60,4.77,3.33,11.76
AP005482.3,0.00,0.16,0.57,0.00,0.50,0.94,1.31,0.21,0.34,0.96,0.00,0.22,0.75,0.60,0.00
AP005482.1,1.12,4.40,0.11,2.27,2.50,7.15,0.12,1.01,2.78,0.12,0.00,3.12,7.71,0.17,0.00
PTPN2,42.75,41.75,26.90,22.73,55.24,50.76,47.00,43.89,53.32,51.02,45.16,36.16,40.75,35.99,37.25
SEH1L,12.27,8.88,10.46,20.45,23.13,12.08,22.11,15.51,10.39,27.18,32.26,12.05,9.17,16.07,31.37
AP002449.1,0.37,0.73,0.11,0.00,0.83,1.06,0.36,0.26,0.80,0.84,3.23,0.45,1.26,0.22,7.84
CEP192,38.29,35.27,13.68,11.36,47.59,42.32,21.91,38.49,39.64,20.07,14.52,29.46,32.83,13.23,33.33
AP001198.1,0.00,0.29,0.00,0.00,0.00,0.12,0.04,0.21,0.15,0.06,0.00,0.22,0.04,0.07,1.96
LDLRAD4,65.80,50.47,22.99,25.00,84.86,61.08,42.90,76.60,58.50,66.37,50.00,62.50,47.45,44.57,31.37
AP002505.1,0.00,0.08,0.11,0.00,0.83,0.23,0.00,0.21,0.15,0.00,1.61,0.00,0.04,0.00,0.00
LDLRAD4-AS1,0.37,0.37,0.11,0.00,1.50,0.47,0.32,0.58,0.41,0.48,6.45,0.00,0.25,0.30,1.96
AP005131.5,0.37,1.22,0.00,0.00,2.33,1.64,0.04,2.12,1.60,0.00,0.00,0.89,1.51,0.00,0.00
AP005131.4,0.00,0.04,0.00,0.00,0.17,0.35,0.16,0.05,0.15,0.36,1.61,0.00,0.21,0.07,0.00
AP005131.6,4.83,3.26,3.79,0.00,14.31,5.39,8.43,12.18,3.32,12.31,4.84,4.69,2.01,9.05,5.88
AP005131.1,1.49,4.20,0.23,2.27,3.99,6.92,0.24,2.17,5.18,0.84,14.52,1.34,4.69,0.55,9.80
AP005131.7,2.97,0.94,1.49,2.27,7.82,1.41,5.33,4.82,1.67,10.69,9.68,1.79,0.59,6.96,1.96
AP005131.3,0.00,1.06,0.00,0.00,0.50,1.52,0.00,0.79,1.86,0.06,0.00,0.45,1.09,0.00,0.00
FAM210A,17.10,16.17,9.20,4.55,35.77,17.12,21.63,29.96,20.24,27.60,27.42,19.64,12.56,16.17,23.53
RNMT,33.83,35.40,42.07,38.64,53.74,41.74,57.85,44.94,38.62,67.44,62.90,34.38,33.00,49.74,58.82
ZNF519,19.33,12.67,25.98,25.00,32.45,22.74,20.95,13.76,9.20,12.25,12.90,8.48,7.54,15.24,21.57
AC006557.1,0.00,0.08,1.03,2.27,0.33,0.00,1.11,0.00,0.02,1.02,3.23,0.00,0.00,0.52,0.00
AP006261.1,3.72,1.06,0.46,0.00,13.48,5.04,0.91,6.99,0.27,0.90,1.61,0.67,0.63,0.99,0.00
ANKRD30B,0.37,0.20,0.00,0.00,0.00,0.35,0.00,0.16,0.34,0.00,1.61,0.22,0.17,0.02,0.00
AP006565.1,0.37,0.16,0.11,0.00,0.33,0.00,0.00,0.26,0.10,0.00,1.61,0.00,0.00,0.00,0.00
ROCK1,61.34,65.38,51.15,31.82,76.71,71.75,66.36,67.92,71.65,81.54,75.81,54.46,62.10,58.34,56.86
GREB1L,2.60,4.64,0.00,0.00,10.65,9.38,1.43,4.87,5.91,1.43,6.45,3.12,4.44,1.07,0.00
ESCO1,31.23,23.87,20.34,13.64,45.26,28.60,27.28,34.15,26.39,36.26,32.26,26.79,22.91,23.75,31.37
SNRPD1,9.67,15.19,27.01,13.64,24.63,28.02,64.06,11.96,18.43,72.70,59.68,12.05,14.82,46.03,43.14
ABHD3,40.15,38.57,6.55,6.82,52.91,49.47,11.13,46.00,45.93,9.08,19.35,42.63,43.05,8.08,19.61
AC106037.3,0.37,2.28,0.00,0.00,2.50,5.04,0.00,0.85,3.73,0.00,0.00,0.89,3.27,0.00,0.00
MIB1,54.28,44.32,37.36,43.18,67.89,50.76,55.31,53.94,42.28,59.38,64.52,44.42,42.13,43.82,60.78
MIR133A1HG,0.74,0.65,0.11,0.00,0.83,0.70,0.28,0.32,0.58,0.12,8.06,0.67,0.84,0.15,3.92
AC103987.2,0.00,0.37,0.00,0.00,0.33,1.17,0.00,0.16,0.63,0.00,0.00,0.00,0.21,0.00,0.00
GATA6-AS1,0.00,0.00,0.11,0.00,0.00,0.00,0.08,0.11,0.05,0.00,0.00,0.00,0.08,0.07,1.96
GATA6,1.12,0.20,0.46,0.00,1.33,1.06,0.20,1.48,1.14,0.54,11.29,0.45,0.42,0.35,0.00
AC090912.1,3.35,1.06,0.00,0.00,4.16,1.88,0.08,3.71,2.45,0.06,0.00,1.34,0.71,0.00,0.00
RBBP8,15.61,12.14,3.68,6.82,26.79,17.58,10.18,22.82,22.06,7.65,19.35,16.74,11.18,5.47,7.84
AC090912.3,0.00,0.00,0.11,0.00,0.00,0.23,0.00,0.00,0.02,0.12,1.61,0.00,0.00,0.05,0.00
CABLES1,13.38,12.55,1.38,0.00,11.98,8.21,0.28,19.48,23.37,0.18,6.45,7.37,6.07,0.45,1.96
TMEM241,24.16,17.43,2.87,6.82,27.79,18.76,5.33,24.40,24.02,7.35,4.84,14.96,13.94,4.55,3.92
RIOK3,24.54,25.25,18.85,22.73,44.09,34.82,41.43,35.36,30.00,57.89,51.61,25.89,26.84,35.51,43.14
RMC1,5.95,13.28,2.30,4.55,15.97,14.54,5.57,10.91,15.08,7.59,11.29,11.61,15.12,3.71,9.80
NPC1,28.25,31.98,7.36,9.09,49.58,40.56,17.73,34.94,28.50,26.88,20.97,36.83,36.68,15.34,27.45
ANKRD29,2.97,1.26,0.46,2.27,4.33,1.99,0.32,7.68,4.75,0.78,32.26,1.34,0.75,0.35,1.96
LAMA3,4.46,1.26,0.46,0.00,8.49,2.70,1.23,10.91,5.67,0.24,16.13,1.79,1.38,0.25,0.00
AC010754.1,2.60,0.77,0.00,0.00,5.49,1.06,0.00,1.43,0.53,0.00,1.61,0.67,1.30,0.00,0.00
TTC39C,35.32,39.19,3.33,4.55,45.92,49.94,4.69,25.52,28.01,4.42,3.23,29.91,47.03,4.25,5.88
TTC39C-AS1,0.74,1.55,0.34,0.00,1.50,1.64,0.04,0.16,0.85,0.00,0.00,0.00,2.35,0.00,1.96
AC090772.2,1.49,5.99,0.00,0.00,1.00,7.97,0.00,0.74,4.36,0.00,0.00,1.12,9.42,0.00,0.00
AC090772.1,0.00,2.73,0.00,0.00,1.00,3.05,0.08,0.16,1.57,0.06,0.00,0.00,2.51,0.22,0.00
CABYR,2.23,4.15,0.23,0.00,5.82,6.21,0.20,3.07,4.48,0.18,0.00,3.57,4.36,0.20,0.00
AC090772.3,1.12,0.61,0.46,2.27,1.50,0.94,1.71,0.90,0.34,4.60,1.61,0.22,0.13,2.34,0.00
OSBPL1A,30.11,26.44,21.84,27.27,45.26,21.34,51.77,35.63,24.92,78.38,53.23,14.06,7.37,44.47,13.73
AC023983.2,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.16,0.19,0.06,1.61,0.00,0.00,0.02,0.00
IMPACT,5.95,9.82,17.47,15.91,12.31,9.14,29.70,7.89,9.23,40.08,41.94,6.03,5.65,27.41,29.41
AC007922.2,0.00,0.08,0.00,0.00,0.50,0.23,0.12,0.16,0.07,0.00,0.00,0.00,0.08,0.10,3.92
HRH4,0.37,0.53,0.00,0.00,1.50,0.59,0.12,0.48,0.44,0.06,0.00,0.00,0.42,0.20,0.00
LINC01915,0.00,0.20,0.11,0.00,0.17,0.35,0.04,0.11,0.24,0.00,1.61,0.00,0.04,0.10,0.00
ZNF521,37.17,13.77,13.56,9.09,42.10,18.99,5.88,32.72,15.40,6.45,29.03,18.53,5.19,6.57,7.84
AC105114.2,0.37,1.10,0.11,2.27,0.17,1.52,0.04,0.53,1.50,0.00,0.00,0.22,0.25,0.05,0.00
SS18,41.64,31.77,25.52,18.18,52.08,37.63,40.52,40.34,33.12,50.06,43.55,32.14,24.62,32.70,35.29
TAF4B,24.16,15.56,5.52,4.55,34.94,23.45,9.34,31.76,31.69,11.17,4.84,24.78,14.87,6.81,3.92
KCTD1,14.50,7.70,5.06,4.55,16.47,9.96,4.89,14.24,6.73,8.96,11.29,9.38,3.89,5.52,11.76
